banner_id,banner,country_iso,country_name,region,erp,cloud,procurement,confidence,raw_notes
1,Edeka,DE,Germany,Western EU + DACH,SAP S/4HANA,"Azure, On-prem, Hybrid","Ariba, Coupa",CONFIRMED,🟢 CONFIRMED (6-of-6)
2,REWE,DE,Germany,Western EU + DACH,SAP S/4HANA,GCP,"Ariba, Coupa",CONFIRMED,🟢 CONFIRMED (6-of-6)
3,Penny,DE,Germany,Western EU + DACH,SAP S/4HANA,GCP,Coupa,INFERRED,🟢 INFERRED (6-of-6 from REWE)
4,REWE sub-banners (Markt/Express/Center/City/To Go/PENNY To Go/nahkauf/toom),DE,Germany,Western EU + DACH,SAP S/4HANA,GCP,Coupa,INFERRED,🟢 INFERRED (5-of-6)
5,Lidl,DE,Germany,Western EU + DACH,SAP S/4HANA,STACKIT,Native,CONFIRMED,🟢 CONFIRMED (5-of-6 — Perplexity wrong on Azure)
6,Kaufland,DE,Germany,Western EU + DACH,SAP S/4HANA,STACKIT,Native,CONFIRMED,🟢 CONFIRMED (5-of-6)
7,Aldi Nord,DE,Germany,Western EU + DACH,SAP S/4HANA,Azure,Ariba,CONFIRMED,🟢 CONFIRMED (Grok + Gemini agreement on project names)
8,Aldi Süd,DE,Germany,Western EU + DACH,SAP S/4HANA,"Azure, GCP",Ariba,CONFIRMED,🟢 CONFIRMED (Grok + Gemini agreement)
9,Metro Cash & Carry,DE,Germany,Western EU + DACH,SAP S/4HANA,GCP,"Ariba, Ivalua",CONFIRMED,🟢 CONFIRMED (4-of-6 on GCP)
10,"Edeka cluster (E-Center, Marktkauf, Edeka nah & gut, Edeka Aktiv Markt, Edeka Neukauf, Diska, NP-Discount, Edeka Treff 3",DE,Germany,Western EU + DACH,SAP S/4HANA,Hybrid,Native,INFERRED,🟡 INFERRED (4-of-6)
11,Netto Marken-Discount,DE,Germany,Western EU + DACH,SAP via Edeka,Hybrid,Native,INFERRED,🟡 INFERRED (4-of-6)
12,Famila / Bartels-Langness (Nordost / Nordwest),DE,Germany,Western EU + DACH,SAP S/4HANA,Unknown,Native,PROBABLE,🟠 PROBABLE (Grok + Gemini agree)
13,Combi (Bünting),DE,Germany,Western EU + DACH,SAP via Edeka,Unknown,Native,INFERRED,🟡 INFERRED (Grok only — flag)
14,Globus,DE,Germany,Western EU + DACH,SAP (14 systems / S/4HANA 2023),AWS,Native,PROBABLE,🟠 PROBABLE (Grok + Gemini) — cloud contested
15,Tegut,DE,Germany,Western EU + DACH,SAP S/4HANA,Azure,"Ariba, Native",CONFIRMED,🟢 CONFIRMED (Grok + Gemini)
16,Norma,DE,Germany,Western EU + DACH,SAP ECC,On-prem,"Manual, EDI",CONTESTED,🟠 CONTESTED (Gemini mainframe vs Mistral ECC)
17,Wasgau,DE,Germany,Western EU + DACH,SAP ECC,On-prem,Native,CONTESTED,🟠 CONTESTED (Grok CSB likely correct)
18,HIT,DE,Germany,Western EU + DACH,SAP S/4HANA,Unknown,Native,PROBABLE,🟠 PROBABLE (Gemini only)
19,Lekkerland,DE,Germany,Western EU + DACH,SAP S/4HANA,GCP,Coupa,CONFIRMED,🟢 CONFIRMED (Gemini + ChatGPT REWE inheritance)
20,Selgros C&C,DE,Germany,Western EU + DACH,SAP S/4HANA,GCP,Native,PROBABLE,🟠 PROBABLE (3-of-6 SAP signal)
21,Transgourmet Deutschland,DE,Germany,Western EU + DACH,SAP S/4HANA,Unknown,Ariba,PROBABLE,🟠 PROBABLE (Gemini + ChatGPT)
22,Alnatura,DE,Germany,Western EU + DACH,SAP S/4HANA,AWS,Native,CONFIRMED,"🟢 CONFIRMED (Gemini, Alnatura/SAP case study)"
23,Denn's Biomarkt (Dennree),DE,Germany,Western EU + DACH,SAP S/4HANA,Azure,Native,PROBABLE,🟠 PROBABLE (Gemini)
24,Knuspr (Rohlik DE),DE,Germany,Western EU + DACH,Oracle Fusion,GCP,Oracle Procurement,CONFIRMED,"🟢 CONFIRMED (Gemini, Rohlik tech stack)"
25,Picnic Deutschland,DE,Germany,Western EU + DACH,Oracle Fusion,GCP,Oracle Procurement,CONFIRMED,"🟢 CONFIRMED (Gemini, Stacksync/Oracle)"
26,Flink,DE,Germany,Western EU + DACH,Oracle Fusion,AWS,Oracle Procurement,CONFIRMED,"🟢 CONFIRMED (Gemini, Flink sourcing)"
27,Gorillas/Getir DE,DE,Germany,Western EU + DACH,Oracle NetSuite,AWS,JAGGAER,CONFIRMED,🟢 CONFIRMED (Gemini)
